year,level,province_en,Total Labor Force,"Agriculture, forestry and fishing",Mining and quarrying,Manufacturing,"Electricity, gas, steam and air conditioning supply","Water supply; sewerage, waste management and remediation activities",Construction,Wholesale and retail trade and repair of motor vehicles and motorcycle,Transportation and storage,Accommodation and food service activities,Information and communication,Financial and insurance activities,Real estate activities,"Professional, scientific and technical activities",Administrative and support service activities,Public administration and defence; compulsory social security,Education,Human health and social work activities,"Arts, entertainment and recreation",Other service activities,Activities of households as employers,Activities of extraterritorial organizations and bodies,Unknown
2014,Provincial,Tak,258590,123032,3552,18251,1036,1504,12625,41816,4699,13957,494,609,60,398,1016,14637,8482,4771,518,4095,2644,394,0
2015,Provincial,Kanchanaburi,464531,183062,1088,64388,4095,540,36069,72949,5820,31388,426,2913,200,1782,8125,15243,11617,8112,2591,11649,2474,0,0
2015,Provincial,Phetchaburi,290344,85414,323,38005,1442,1144,20390,64354,3808,30023,1258,3289,1738,760,2855,10593,6944,5594,2839,8114,1461,0,0
2015,Provincial,Prachuap Khiri Khan,277806,98116,877,28920,93,2253,14942,57766,3909,32997,291,1729,1531,350,1269,10133,6833,3916,3254,5877,2750,0,0
2015,Provincial,Tak,266231,120271,3630,23956,468,0,15396,44270,4542,9419,714,1934,544,725,1698,14604,9748,5928,190,2596,4365,1234,0
2016,Provincial,Kanchanaburi,463338,208022,822,57851,1476,660,29488,64677,9766,30457,144,2245,877,781,2884,21243,8891,8308,4788,7857,2101,0,0
2016,Provincial,Phetchaburi,279782,86346,686,36330,1409,778,24624,51887,2678,30312,964,2439,2141,1378,1566,12786,6235,5344,3885,6452,1058,0,486
2016,Provincial,Prachuap Khiri Khan,274113,102968,716,24965,499,988,14861,60494,4073,32993,261,1529,1549,479,1841,8362,3343,3957,2870,6170,1192,0,0
2016,Provincial,Tak,246728,105983,188,23488,4055,0,15922,41992,6843,8583,878,942,229,382,1705,17049,8935,4334,1627,3033,275,283,0
2017,Provincial,Kanchanaburi,438338,202139,3712,45295,562,0,30580,58266,5009,35285,255,1724,0,1189,1325,16741,11022,5157,9947,10016,114,0,0
2017,Provincial,Phetchaburi,262953,77491,941,30921,741,1007,19884,47744,2545,33489,242,2540,1310,1109,2007,13050,10161,3854,3110,8803,1769,0,236
2017,Provincial,Prachuap Khiri Khan,268497,87720,1206,31443,804,0,14482,56679,6080,29967,603,1952,1226,1342,2742,11765,6316,3417,1918,7032,1802,0,0
2017,Provincial,Tak,257741,116268,419,24321,3197,472,8290,47607,7299,8112,381,2592,182,734,1867,15505,8270,4511,1443,4946,797,528,0
2018,Provincial,Kanchanaburi,453469,220529,3574,45825,1738,405,28738,63617,3891,26670,695,2123,345,647,2274,12558,12716,3458,7660,14128,1876,0,0
2018,Provincial,Phetchaburi,265647,62986,1298,43084,372,223,19495,46825,2963,29609,763,3079,1472,1680,3116,13875,10179,4644,5202,12417,2365,0,0
2018,Provincial,Prachuap Khiri Khan,265165,73357,1694,31370,1199,514,16610,59256,7626,29482,391,2078,2545,1835,3269,9676,7006,4799,1222,9105,2131,0,0
2018,Provincial,Tak,258912,129490,285,22907,2317,344,10486,36870,6014,11224,605,1993,172,909,1235,14523,7467,5068,592,3578,1888,945,0
2019,Provincial,Kanchanaburi,463673,213213,0,55361,2490,4464,27403,65706,7681,26874,1333,2055,240,2061,2867,14366,10710,4941,6026,14641,1243,0,0
2019,Provincial,Phetchaburi,279793,60313,1112,44585,779,144,17664,55437,2932,34521,228,3164,1045,1480,3923,14493,10006,5404,5690,14066,2809,0,0
2019,Provincial,Prachuap Khiri Khan,255331,69414,692,28807,1468,779,19789,53656,5637,34571,1300,2531,2526,1001,3106,8719,6325,4842,2033,6153,1981,0,0
2019,Provincial,Tak,237960,115938,231,18499,1237,216,13858,35658,3259,10224,389,2096,147,504,1903,11209,10824,3808,1498,4052,2076,332,0
2020,Provincial,Kanchanaburi,448685,193534,1530,52147,3019,4883,27985,70603,6173,27517,2216,2257,125,1654,1310,20111,11801,8582,3353,8149,1736,0,0
2020,Provincial,Phetchaburi,289220,73028,1397,35087,1265,313,24154,57554,4602,30523,256,3359,2387,1759,3627,12757,10548,6817,3436,13141,3212,0,0
2020,Provincial,Prachuap Khiri Khan,267070,80550,748,26874,0,1729,27451,50664,4623,33469,560,2026,1959,1302,3243,8871,5983,6002,1639,6261,3114,0,0
2020,Provincial,Tak,248733,110683,220,15993,1065,1214,17472,42973,2782,15155,102,1839,148,384,3691,11877,10322,5015,1243,3418,2567,570,0
2021,Provincial,Kanchanaburi,435162.76,191043.59,1045.76,43883.96,1145.35,2099.53,26790.77,74737.32,5113.34,23670.91,1404.18,2149.96,520.01,1085.11,2326.27,13799.74,16145.89,10774.49,6353.11,8352.31,2603.52,0,117.65
2021,Provincial,Phetchaburi,283419.21,82076.96,904.19,37195.77,2540.84,314.41,17589.79,50012.6,5998.44,27372.43,1355.16,2715.1,1007.74,2338.76,2493.68,12742.78,12465.1,6854.88,2199.08,12008.44,3233.05,0,0
2021,Provincial,Prachuap Khiri Khan,250365.23,87318.95,978.11,22594.35,654.04,1008.58,15415.05,48862.58,3661.89,32239.3,299.95,1205.53,2498.73,1847.72,3044.32,9500.64,4489.53,5568.81,1545.61,4401.34,3141.95,0,88.24
2021,Provincial,Tak,234241,102641.42,574.77,12038.39,246.33,959.74,13326.45,40167.2,4055.66,15073.09,190.3,1886.21,46.02,2057.96,2187.8,15579.48,10569.07,6742.34,1012.35,2991.57,1894.86,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
